File Name,Syntax Error Count,Fatal Error Count,Warning Count
0.fuzz,1,0,1
1.fuzz,1,0,0
2.fuzz,0,0,0
3.fuzz,2,0,0
4.fuzz,3,0,0
5.fuzz,1,1,0
6.fuzz,1,0,0
7.fuzz,0,0,0
8.fuzz,0,0,0
9.fuzz,1,1,0
10.fuzz,0,0,0
11.fuzz,0,0,0
12.fuzz,0,0,0
13.fuzz,1,0,0
14.fuzz,0,0,0
15.fuzz,1,0,0
16.fuzz,1,0,0
17.fuzz,1,0,0
18.fuzz,1,0,1
19.fuzz,2,0,0
20.fuzz,1,0,0
21.fuzz,0,0,0
22.fuzz,0,0,0
23.fuzz,2,0,0
24.fuzz,1,0,0
25.fuzz,0,0,0
26.fuzz,0,0,0
27.fuzz,0,0,0
28.fuzz,0,0,0
29.fuzz,2,0,9
30.fuzz,0,0,0
31.fuzz,0,0,0
32.fuzz,1,0,0
33.fuzz,1,0,0
34.fuzz,0,0,0
35.fuzz,0,0,0
36.fuzz,0,0,0
37.fuzz,3,1,0
38.fuzz,2,0,1
39.fuzz,1,0,2
40.fuzz,0,0,0
41.fuzz,3,0,0
42.fuzz,0,0,0
43.fuzz,1,0,0
44.fuzz,0,0,0
45.fuzz,5,0,0
46.fuzz,0,0,0
47.fuzz,0,0,0
48.fuzz,0,0,0
49.fuzz,2,0,0
50.fuzz,0,0,0
51.fuzz,0,0,0
52.fuzz,0,0,0
53.fuzz,2,0,2
54.fuzz,0,0,0
55.fuzz,2,0,6
56.fuzz,1,0,3
57.fuzz,1,0,6
58.fuzz,2,0,0
59.fuzz,2,0,6
60.fuzz,0,0,0
61.fuzz,3,0,6
62.fuzz,1,0,1
63.fuzz,4,0,7
64.fuzz,0,0,0
65.fuzz,1,0,4
66.fuzz,0,0,0
67.fuzz,4,0,2
68.fuzz,1,0,0
69.fuzz,0,0,0
70.fuzz,0,0,0
71.fuzz,1,0,2
72.fuzz,0,0,0
73.fuzz,0,0,0
74.fuzz,0,0,0
75.fuzz,5,0,2
76.fuzz,4,0,0
77.fuzz,0,0,0
78.fuzz,3,0,2
79.fuzz,0,0,0
80.fuzz,0,0,0
81.fuzz,0,0,0
82.fuzz,0,0,0
83.fuzz,0,0,0
84.fuzz,4,0,0
85.fuzz,13,0,0
86.fuzz,0,0,0
87.fuzz,1,0,0
88.fuzz,0,0,0
89.fuzz,6,0,0
90.fuzz,2,0,0
91.fuzz,0,0,0
92.fuzz,2,0,0
93.fuzz,3,0,0
94.fuzz,0,0,0
95.fuzz,1,0,0
96.fuzz,4,0,0
97.fuzz,0,0,0
98.fuzz,0,0,0
99.fuzz,0,0,0
Total,115,3,63
